Category_full,Category_full_txt
8712,ARCHITECTURAL SERVICES
8721,"ACCOUNTING, AUDITING, AND BOOKKEEPING SERVICES"
8731,COMMERCIAL PHYSICAL AND BIOLOGICAL RESEARCH
8732,"COMMERCIAL ECONOMIC, SOCIOLOGICAL AND EDUCATIONAL RESEARCH"
8733,NONCOMMERCIAL RESEARCH ORGANIZATIONS
8734,TESTING LABORATORIES
8742,MANAGEMENT CONSULTING SERVICES
8743,PUBLIC RELATIONS SERVICES
8748,BUSINESS CONSULTING SERVICES
8771,STATE HIGHWAY
8772,FREEWAY
8810,SINGLE-PRIVATE HOUSEHOLDS
8811,CONDOMINIUMS
8820,TWO FAMILY RESIDENTIAL
8830,"MULTI-FAMILY,RESIDENTIAL"
8850,RESIDENTIAL UNIT UNDER CONST.
8860,PLAYGROUND
8870,PARK
8871,PARKWAY
8880,VACANT LOT
8885,VACANT LOT WITH IMPROVEMENTS
8888,DISCONTINUED RESIDENTIAL UNIT
8890,RESI. UNIT/SKILLED CARE FACIL.
8899,MIXED-RESIDENTIAL/COMMERCIAL
9111,EXECUTIVE GOVERNMENT OFFICES
9121,LEGISLATIVE GOVERNMENT BODIES
9199,GENERAL GOVERNMENT
9221,POLICE PROTECTION
9222,LEGAL COUNSEL
9223,CORRECTIONAL INSTITUTION
9224,FIRE PROTECTION
9225,DPW WARD YARDS
9229,PUBLIC ORDER AND SAFETY
9411,ADMINISTRATION OF EDUCATIONAL PROGRAMS
9431,ADMINISTRATION OF PUBLIC HEALTH PROGRAMS
9441,"ADMINISTRATION OF SOCIAL, HUMAN RESOURCE AND INCOME MAINTENA"
9500,ADMIN OF ENVIRON QLTY/HSG PROG
9511,SOLID WASTE MANAGEMENT
9512,"LAND, MINERAL, WILDLIFE AND FOREST CONSERVATION"
9531,ADMINISTRATION OF HOUSING PROGRAMS
9621,"TRANSPORTATION-REGLTN,ADMIN"
9711,NATIONAL SECURITY
9721,INTERNATIONAL AFFAIRS
9850,NON-RES. STRUCT. UNDER CONST.
9911,COMMERCIAL CONDOS
9960,NON-RES. UNCLASSIFIABLE BLDGS.
9999,COMMERCIAL MIXED USE
